City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,Chicama,-7.8447,-79.1469,77.54,56,46,11.7,PE,1675886925
504,Padang,-0.9492,100.3543,73.45,88,100,4.63,ID,1675886668
505,Damaturu,11.747,11.9608,73.83,18,100,11.21,NG,1675886926
506,Tiarei,-17.5333,-149.3333,84.22,75,19,8.03,PF,1675886926
507,Juba,4.8517,31.5825,81.54,20,21,3.71,SS,1675886927
508,Richards bay,-28.783,32.0377,73.78,93,94,11.25,ZA,1675886927
509,Novikovo,51.1537,37.8879,10.45,96,60,3.53,RU,1675886642
510,Port blair,11.6667,92.75,75.67,73,65,8.12,IN,1675886928
511,Songea,-10.6833,35.65,63.63,94,100,2.71,TZ,1675886929
512,Havelock,34.8791,-76.9013,73.36,50,0,10.36,US,1675886862
513,Pitanga,-24.7572,-51.7614,80.38,54,15,3.58,BR,1675886931
514,Kabanjahe,3.1001,98.4908,63.61,96,100,1.74,ID,1675886854
515,Takoradi,4.8845,-1.7554,80.1,80,100,7.0,GH,1675886932
516,Houma,29.5958,-90.7195,78.8,88,75,18.41,US,1675886932
517,Nome,64.5011,-165.4064,-0.33,78,100,0.0,US,1675886933
518,Slyudyanka,51.6594,103.7061,3.43,88,35,5.08,RU,1675886934
519,Petatlan,17.5167,-101.2667,85.8,47,0,7.85,MX,1675886870
520,Sebeta,8.9167,38.6167,55.51,49,0,4.72,ET,1675886934
521,La asuncion,11.0333,-63.8628,78.57,77,6,15.1,VE,1675886935
522,Matata,-37.8833,176.75,65.95,59,0,10.13,NZ,1675886935
523,Port keats,-14.25,129.55,83.12,80,100,11.03,AU,1675886936
524,Nanning,22.8167,108.3167,63.75,98,100,4.34,CN,1675886937
525,Khani,41.9563,42.9566,29.77,96,100,1.7,GE,1675886937
526,Avera,33.194,-82.5271,75.38,62,100,7.0,US,1675886938
527,Voznesenskoye,54.89,42.7569,18.12,97,100,5.35,RU,1675886939
528,Islamkot,24.6997,70.177,66.78,45,41,8.95,PK,1675886939
529,Hamilton,39.1834,-84.5333,55.99,50,100,6.91,US,1675886851
530,Humaita,-7.5061,-63.0208,88.66,57,40,2.93,BR,1675886940
531,Presidencia roque saenz pena,-26.7852,-60.4388,105.08,17,71,4.92,AR,1675886940
532,Panalingaan,8.7842,117.4231,75.76,82,87,2.8,PH,1675886941
533,Yulara,-25.2406,130.9889,80.76,43,5,6.87,AU,1675886942
534,Mwense,-10.3845,28.698,64.65,95,78,2.42,ZM,1675886943
535,Miles city,46.4083,-105.8406,43.77,52,0,19.57,US,1675886944
536,Goianapolis,-16.5106,-49.0239,81.68,71,97,4.79,BR,1675886945
537,Nahavand,34.1885,48.377,28.81,88,87,3.94,IR,1675886946
538,Ust-ilimsk,58.0006,102.6619,14.31,96,100,4.54,RU,1675886664
539,Nago,26.5881,127.9761,65.25,76,44,8.32,JP,1675886947
540,Dudinka,69.4058,86.1778,-9.38,93,100,15.5,RU,1675886948
541,Imeni poliny osipenko,52.4201,136.4853,-36.69,100,46,1.36,RU,1675886949
542,Ruteng,-8.6136,120.4721,62.24,88,83,1.59,ID,1675886950
543,Valparaiso,-33.0393,-71.6273,73.63,69,40,10.36,CL,1675886854
544,Klaksvik,62.2266,-6.589,34.72,62,85,30.98,FO,1675886952
545,Kolochava,48.4285,23.6959,17.94,93,10,3.85,UA,1675886954
546,Requena,39.4883,-1.1004,39.52,90,100,8.9,ES,1675886955
547,Kenora,49.8167,-94.4337,35.78,55,100,11.99,CA,1675886956
548,Yuli,9.6989,10.2744,80.26,16,17,6.44,NG,1675886957
549,College,64.8569,-147.8028,6.21,80,100,0.0,US,1675886958
550,Tongliao,43.6125,122.2653,16.65,60,100,3.27,CN,1675886958
551,Larochette,49.7769,6.2211,33.33,59,0,8.05,LU,1675886959
552,Wewak,-3.5534,143.6268,77.45,95,100,15.23,PG,1675886960
553,Lerik,38.7726,48.4128,22.64,98,100,5.82,AZ,1675886961
554,Toora-khem,52.4675,96.11,6.8,97,100,0.51,RU,1675886962
555,Tezu,27.9167,96.1667,58.62,57,39,3.11,IN,1675886962
556,Flinders,-34.5833,150.8552,67.17,93,99,4.0,AU,1675886963
557,Rio branco,-9.9747,-67.81,75.81,100,75,5.75,BR,1675886959
558,Zagreb,45.8131,15.9775,33.89,70,75,5.75,HR,1675886931
559,Inirida,3.8653,-67.9239,90.48,50,45,2.44,CO,1675886838
560,Cartagena,10.3997,-75.5144,89.22,58,20,17.27,CO,1675886765
561,Berbera,10.4396,45.0143,76.03,76,5,2.19,SO,1675886785
562,Bamiantong,44.9333,130.5333,-7.08,99,17,3.62,CN,1675886968
563,Port-cartier,50.0334,-66.8654,21.74,71,2,14.76,CA,1675886970
564,Namatanai,-3.6667,152.4333,79.12,81,100,1.45,PG,1675886971
565,Atbasar,51.8,68.3333,-13.36,100,46,5.37,KZ,1675886972
566,Vila franca do campo,37.7167,-25.4333,55.81,69,88,10.85,PT,1675886974
567,Majene,-3.5403,118.9707,79.2,75,100,6.98,ID,1675886976
